x_p,y_p,x_c,y_c,dx_pixel,dy_pixel,sigma_x2,sigma_y2
9.218070638144951,10.375874739856485,11.298645283469504,4.9749977754890224,-2.0805746453245533,5.400876964367463,19.129049928517023,15.446494090725121
9.218070897471206,10.375872122556634,11.29864917796439,4.974994712375778,-2.0805782804931834,5.400877410180857,19.12905733801185,15.44651157413226
11.298655756984266,4.9749719181680305,9.21807503143386,10.375864314996203,2.080580725550405,-5.400892396828173,19.12907789540205,15.446539423543982
9.218073298775872,10.375869727937326,11.298649768894789,4.974983310953858,-2.080576470118917,5.400886416983468,19.129065529679615,15.446513939025845
9.218073974613818,10.375868027125954,11.298651614528568,4.974979356105575,-2.0805776399147504,5.400888671020379,19.129070228208047,15.446521944128499
9.218073000832096,10.375869881763826,11.298649895672837,4.974984603955556,-2.080576894840741,5.40088527780827,19.12906427838385,15.446514261397747
11.29865567135886,4.974979255741693,9.218073418299744,10.375865583752311,2.0805822530591165,-5.4008863280106185,19.129067812656505,15.446536527586005
11.298649106944596,4.9749867330326385,9.218072628502394,10.37587068566259,2.080576478442202,-5.400883952629952,19.129061189797426,15.446510331766499
11.298648259829717,4.974987271229658,9.218072622963707,10.375871285514862,2.08057563686601,-5.400884014285204,19.12906181517097,15.446507678391821
7.875418974119449,7.958888437194224,7.892204881283871,7.969599233214998,-0.016785907164422298,-0.010710796020774183,22.172219192296268,22.05144663633061
9.218073597080949,10.375869074420908,11.298650438495951,4.974981641708194,-2.0805768414150023,5.4008874327127145,19.129067612077378,15.446516928623328
11.29865065910828,4.974989040831062,9.218071858491598,10.375870114953868,2.0805788006166814,-5.400881074122806,19.12905819459775,15.446516027168947
